Average Vector	Code
44,44,0,0,00000000
54,53,32,32,00000001
58,58,55,55,00000010
61,61,58,58,00000011
63,63,62,62,00000100
65,65,63,63,00000101
67,67,65,64,00000110
70,70,67,67,00000111
73,71,70,70,00001000
74,74,72,72,00001001
76,76,71,72,00001010
79,79,76,76,00001011
82,81,77,77,00001100
83,83,78,78,00001101
86,86,82,82,00001110
89,89,87,86,00001111
93,91,90,89,00010000
94,94,91,91,00010001
95,96,94,94,00010010
98,98,95,95,00010011
100,100,96,95,00010100
102,102,100,100,00010101
105,105,103,103,00010110
108,108,107,107,00010111
111,111,111,111,00011000
111,111,111,111,00011001
113,113,114,114,00011010
116,116,115,114,00011011
118,118,117,116,00011100
120,120,118,118,00011101
123,123,121,121,00011110
126,126,125,125,00011111
129,129,128,128,00100000
129,129,128,128,00100001
130,130,129,129,00100010
132,132,132,131,00100011
135,135,135,135,00100100
135,135,135,135,00100101
137,137,136,136,00100110
140,140,139,139,00100111
143,142,143,142,00101000
143,142,143,142,00101001
143,144,145,145,00101010
146,145,145,144,00101011
145,149,145,148,00101100
149,149,149,149,00101101
150,150,150,150,00101110
153,153,152,152,00101111
156,155,154,154,00110000
156,155,154,154,00110001
157,157,157,157,00110010
157,157,157,157,00110011
160,160,160,160,00110100
160,160,160,160,00110101
161,161,161,160,00110110
164,163,163,162,00110111
166,166,165,165,00111000
166,166,165,165,00111001
166,167,164,166,00111010
168,168,168,167,00111011
171,171,170,170,00111100
171,171,170,170,00111101
172,172,172,172,00111110
175,174,175,174,00111111
177,177,177,177,01000000
177,177,177,177,01000001
177,177,177,177,01000010
177,177,177,177,01000011
178,178,178,178,01000100
178,178,178,178,01000101
180,180,180,180,01000110
180,180,180,180,01000111
183,181,184,182,01001000
183,181,184,182,01001001
182,183,182,183,01001010
184,184,184,184,01001011
186,185,185,185,01001100
186,185,185,185,01001101
187,185,187,186,01001110
188,188,188,188,01001111
190,190,190,190,01010000
190,190,190,190,01010001
190,190,190,190,01010010
190,190,190,190,01010011
192,191,191,191,01010100
192,191,191,191,01010101
193,193,193,193,01010110
193,193,193,193,01010111
195,195,195,195,01011000
195,195,195,195,01011001
195,195,195,195,01011010
195,195,195,195,01011011
197,197,197,196,01011100
197,197,197,196,01011101
198,198,198,198,01011110
198,198,198,198,01011111
200,200,200,199,01100000
200,200,200,199,01100001
200,200,200,199,01100010
200,200,200,199,01100011
201,201,201,201,01100100
201,201,201,201,01100101
201,201,201,201,01100110
201,201,201,201,01100111
203,203,203,202,01101000
203,203,203,202,01101001
203,203,203,202,01101010
203,203,203,202,01101011
204,204,204,203,01101100
204,204,204,203,01101101
205,205,205,205,01101110
205,205,205,205,01101111
207,207,206,206,01110000
207,207,206,206,01110001
207,207,206,206,01110010
207,207,206,206,01110011
208,208,208,208,01110100
208,208,208,208,01110101
208,208,208,208,01110110
208,208,208,208,01110111
210,210,210,210,01111000
210,210,210,210,01111001
210,210,210,210,01111010
210,210,210,210,01111011
212,212,211,211,01111100
212,212,211,211,01111101
213,213,212,212,01111110
214,214,214,214,01111111
216,216,216,216,10000000
216,216,216,216,10000001
216,216,216,216,10000010
216,216,216,216,10000011
217,217,217,217,10000100
217,217,217,217,10000101
217,217,217,217,10000110
217,217,217,217,10000111
219,219,219,219,10001000
219,219,219,219,10001001
219,219,219,219,10001010
219,219,219,219,10001011
220,220,219,219,10001100
220,220,219,219,10001101
221,221,221,221,10001110
221,221,221,221,10001111
223,223,223,223,10010000
223,223,223,223,10010001
223,223,223,223,10010010
223,223,223,223,10010011
224,224,224,224,10010100
224,224,224,224,10010101
224,224,224,224,10010110
224,224,224,224,10010111
226,226,226,226,10011000
226,226,226,226,10011001
226,226,226,226,10011010
226,226,226,226,10011011
227,227,227,227,10011100
227,227,227,227,10011101
228,228,228,228,10011110
228,228,228,228,10011111
230,230,230,230,10100000
230,230,230,230,10100001
230,230,230,230,10100010
230,230,230,230,10100011
230,230,230,230,10100100
230,230,230,230,10100101
230,230,230,230,10100110
230,230,230,230,10100111
232,232,232,232,10101000
232,232,232,232,10101001
232,232,232,232,10101010
232,232,232,232,10101011
233,233,233,233,10101100
233,233,233,233,10101101
234,234,234,234,10101110
234,234,234,234,10101111
236,236,236,236,10110000
236,236,236,236,10110001
236,236,236,236,10110010
236,236,236,236,10110011
236,236,236,236,10110100
236,236,236,236,10110101
236,236,236,236,10110110
236,236,236,236,10110111
238,238,238,238,10111000
238,238,238,238,10111001
238,238,238,238,10111010
238,238,238,238,10111011
239,239,239,239,10111100
239,239,239,239,10111101
240,240,240,240,10111110
240,240,240,240,10111111
242,242,242,242,11000000
242,242,242,242,11000001
242,242,242,242,11000010
242,242,242,242,11000011
242,242,242,242,11000100
242,242,242,242,11000101
242,242,242,242,11000110
242,242,242,242,11000111
243,243,243,243,11001000
243,243,243,243,11001001
243,243,243,243,11001010
243,243,243,243,11001011
243,243,243,243,11001100
243,243,243,243,11001101
243,243,243,243,11001110
243,243,243,243,11001111
245,245,245,245,11010000
245,245,245,245,11010001
245,245,245,245,11010010
245,245,245,245,11010011
245,245,245,245,11010100
245,245,245,245,11010101
245,245,245,245,11010110
245,245,245,245,11010111
246,246,246,246,11011000
246,246,246,246,11011001
246,246,246,246,11011010
246,246,246,246,11011011
247,247,247,247,11011100
247,247,247,247,11011101
247,247,247,247,11011110
247,247,247,247,11011111
249,249,249,249,11100000
249,249,249,249,11100001
249,249,249,249,11100010
249,249,249,249,11100011
249,249,249,249,11100100
249,249,249,249,11100101
249,249,249,249,11100110
249,249,249,249,11100111
249,249,249,249,11101000
249,249,249,249,11101001
249,249,249,249,11101010
249,249,249,249,11101011
249,249,249,249,11101100
249,249,249,249,11101101
249,249,249,249,11101110
249,249,249,249,11101111
251,251,251,251,11110000
251,251,251,251,11110001
251,251,251,251,11110010
251,251,251,251,11110011
251,251,251,251,11110100
251,251,251,251,11110101
251,251,251,251,11110110
251,251,251,251,11110111
252,252,252,251,11111000
252,252,252,251,11111001
252,252,252,251,11111010
252,252,252,251,11111011
253,253,253,253,11111100
253,253,253,253,11111101
253,253,253,253,11111110
253,253,253,253,11111111
